
---------- Begin Simulation Statistics ----------
simSeconds                                   0.041209                       # Number of seconds simulated (Second)
simTicks                                  41209259000                       # Number of ticks simulated (Tick)
finalTick                                 41209259000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    339.35                       # Real time elapsed on the host (Second)
hostTickRate                                121436019                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     739740                       # Number of bytes of host memory used (Byte)
simInsts                                     63529318                       # Number of instructions simulated (Count)
simOps                                       71623450                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   187209                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     211061                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         41209260                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.648665                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.541627                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       100423312                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     5578                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       81716508                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  25879                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             28805439                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          97652286                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  44                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            40674749                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.009023                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.817529                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   9729215     23.92%     23.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   9478608     23.30%     47.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   8245378     20.27%     67.49% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   4785007     11.76%     79.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   4091218     10.06%     89.32% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   2058498      5.06%     94.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1564708      3.85%     98.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    430423      1.06%     99.28% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    291694      0.72%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              40674749                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  709671     88.52%     88.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     88.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     88.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     88.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     88.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     88.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     88.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     88.52% # attempts to use FU when none available (Count)
