
---------- Begin Simulation Statistics ----------
simSeconds                                   0.084983                       # Number of seconds simulated (Second)
simTicks                                  84982532000                       # Number of ticks simulated (Tick)
finalTick                                 84982532000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    395.77                       # Real time elapsed on the host (Second)
hostTickRate                                214726486                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     739740                       # Number of bytes of host memory used (Byte)
simInsts                                     63529318                       # Number of instructions simulated (Count)
simOps                                       71623450                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   160520                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     180972                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         84982533                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.337690                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.747557                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        90631714                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     5562                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       79594202                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  16397                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             19013825                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          58046937                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  28                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            56977646                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.396937                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.711302                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  24712428     43.37%     43.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  11786960     20.69%     64.06% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   8016463     14.07%     78.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   4782483      8.39%     86.52% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   3837658      6.74%     93.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1820698      3.20%     96.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1408704      2.47%     98.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    377495      0.66%     99.59% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    234757      0.41%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              56977646                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  573375     82.40%     82.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     82.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     82.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     82.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     82.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     82.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     82.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     82.40% # attempts to use FU when none available (Count)
