
---------- Begin Simulation Statistics ----------
simSeconds                                   0.049442                       # Number of seconds simulated (Second)
simTicks                                  49442079000                       # Number of ticks simulated (Tick)
finalTick                                 49442079000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    317.64                       # Real time elapsed on the host (Second)
hostTickRate                                155655913                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     739740                       # Number of bytes of host memory used (Byte)
simInsts                                     63529318                       # Number of instructions simulated (Count)
simOps                                       71623450                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   200006                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     225488                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         49442080                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.778256                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.284924                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        92975083                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     5555                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       80169611                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  19120                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             21357187                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          67341355                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  21                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            47638213                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.682885                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.757343                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  15654547     32.86%     32.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  11101461     23.30%     56.17% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   8186700     17.19%     73.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   4883464     10.25%     83.60% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   3920253      8.23%     91.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1872799      3.93%     95.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1382383      2.90%     98.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    387795      0.81%     99.48% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    248811      0.52%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              47638213                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  600369     84.27%     84.27% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     84.27% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     84.27% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     84.27% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     84.27% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     84.27% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     84.27% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     84.27% # attempts to use FU when none available (Count)
