
---------- Begin Simulation Statistics ----------
simSeconds                                   0.044453                       # Number of seconds simulated (Second)
simTicks                                  44452583000                       # Number of ticks simulated (Tick)
finalTick                                 44452583000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    506.36                       # Real time elapsed on the host (Second)
hostTickRate                                 87787910                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     745708                       # Number of bytes of host memory used (Byte)
simInsts                                     63736208                       # Number of instructions simulated (Count)
simOps                                       65363050                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   125870                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     129083                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         44452584                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.697446                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.433802                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        88861648                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     6086                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       75619978                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  30521                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             23504683                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          69513807                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  52                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            44419351                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.702411                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.572901                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  12756717     28.72%     28.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  10768978     24.24%     52.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   8229997     18.53%     71.49% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   5453713     12.28%     83.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   4749700     10.69%     94.46% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1864608      4.20%     98.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    491514      1.11%     99.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     74049      0.17%     99.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     30075      0.07%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              44419351                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   21248      0.90%      0.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      0.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      0.90% # attempts to use FU when none available (Count)
