
---------- Begin Simulation Statistics ----------
simSeconds                                   0.043338                       # Number of seconds simulated (Second)
simTicks                                  43338269000                       # Number of ticks simulated (Tick)
finalTick                                 43338269000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    351.96                       # Real time elapsed on the host (Second)
hostTickRate                                123134174                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     750568                       # Number of bytes of host memory used (Byte)
simInsts                                     63736208                       # Number of instructions simulated (Count)
simOps                                       65363050                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   181089                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     185712                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         43338270                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.679963                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.470668                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        94714323                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     6080                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       78379174                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  43661                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             29357352                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          86048767                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  46                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            43305447                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.809915                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.590909                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  11252017     25.98%     25.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  10199515     23.55%     49.54% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   8639446     19.95%     69.49% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   5499968     12.70%     82.19% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   4959701     11.45%     93.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   2096726      4.84%     98.48% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    555314      1.28%     99.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     75535      0.17%     99.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     27225      0.06%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              43305447                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   17759      0.71%      0.71% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.71% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.71% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.71% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.71% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.71% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      0.71% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      0.71% # attempts to use FU when none available (Count)
