
---------- Begin Simulation Statistics ----------
simSeconds                                   0.010041                       # Number of seconds simulated (Second)
simTicks                                  10041115000                       # Number of ticks simulated (Tick)
finalTick                                 10041115000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     63.91                       # Real time elapsed on the host (Second)
hostTickRate                                157115449                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     708632                       # Number of bytes of host memory used (Byte)
simInsts                                     10541538                       # Number of instructions simulated (Count)
simOps                                       10541766                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   164945                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     164948                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         10041116                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.952529                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.049837                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        11414712                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   135017                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       11030838                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   4917                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              1007962                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            900742                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                3182                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            10012171                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.101743                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.537955                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   4895309     48.89%     48.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   2573273     25.70%     74.60% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    947955      9.47%     84.06% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    643433      6.43%     90.49% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    472179      4.72%     95.21% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    273419      2.73%     97.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    112624      1.12%     99.06% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     52031      0.52%     99.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     41948      0.42%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              10012171                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   17864     10.26%     10.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                   2135      1.23%     11.49% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                     110      0.06%     11.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     11.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     11.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     11.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                   11      0.01%     11.56% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     11.56% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     11.56% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                 5994      3.44%     15.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     15.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     15.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     15.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                      0      0.00%     15.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     15.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                      0      0.00%     15.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                     0      0.00%     15.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     15.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     15.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     15.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                    0      0.00%     15.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     15.00% # attempts to use FU when none available (Count)
