
---------- Begin Simulation Statistics ----------
simSeconds                                   0.009675                       # Number of seconds simulated (Second)
simTicks                                   9674757000                       # Number of ticks simulated (Tick)
finalTick                                  9674757000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     65.68                       # Real time elapsed on the host (Second)
hostTickRate                                147292288                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     709404                       # Number of bytes of host memory used (Byte)
simInsts                                     10541538                       # Number of instructions simulated (Count)
simOps                                       10541766                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   160487                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     160491                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                          9674759                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.917775                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.089592                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        10541728                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   132482                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       10628881                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1013                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               132443                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             80573                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 647                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             9644602                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.102055                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.529507                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   4649807     48.21%     48.21% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   2547470     26.41%     74.62% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    951240      9.86%     84.49% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    602979      6.25%     90.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    432742      4.49%     95.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    257335      2.67%     97.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    111984      1.16%     99.06% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     47913      0.50%     99.55% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     43132      0.45%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               9644602                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   18746     12.02%     12.02% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                   2124      1.36%     13.38% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                      42      0.03%     13.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     13.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     13.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     13.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                   10      0.01%     13.42% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     13.42% # attempts to use FU when none available (Count)
