
---------- Begin Simulation Statistics ----------
simSeconds                                   0.017228                       # Number of seconds simulated (Second)
simTicks                                  17227908000                       # Number of ticks simulated (Tick)
finalTick                                 17227908000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     87.93                       # Real time elapsed on the host (Second)
hostTickRate                                195937301                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     702360                       # Number of bytes of host memory used (Byte)
simInsts                                     10541538                       # Number of instructions simulated (Count)
simOps                                       10541766                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   119891                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     119894                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         17227910                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.634288                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.611887                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        10719088                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   134771                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       10739507                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1371                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               312092                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            207932                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                2936                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            15051655                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.713510                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.276450                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   9702179     64.46%     64.46% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   2872450     19.08%     83.54% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1035659      6.88%     90.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    599138      3.98%     94.40% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    437565      2.91%     97.31% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    254908      1.69%     99.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     94583      0.63%     99.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     35357      0.23%     99.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     19816      0.13%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              15051655                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    6567      4.72%      4.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                   2104      1.51%      6.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                      87      0.06%      6.30% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      6.30% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      6.30% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      6.30% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                   17      0.01%      6.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      6.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%      6.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                 5993      4.31%     10.62% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     10.62% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     10.62% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     10.62% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                      0      0.00%     10.62% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     10.62% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                      0      0.00%     10.62% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                     0      0.00%     10.62% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     10.62% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     10.62% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     10.62% # attempts to use FU when none available (Count)
