
---------- Begin Simulation Statistics ----------
simSeconds                                   0.044954                       # Number of seconds simulated (Second)
simTicks                                  44953942000                       # Number of ticks simulated (Tick)
finalTick                                 44953942000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    522.90                       # Real time elapsed on the host (Second)
hostTickRate                                 85970899                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     708340                       # Number of bytes of host memory used (Byte)
simInsts                                     68586790                       # Number of instructions simulated (Count)
simOps                                       68588230                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   131167                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     131170                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         44953943                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.655432                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.525712                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       102721207                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     6830                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       89524311                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  59824                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             34139806                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          21337653                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 734                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            44925909                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.992710                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.787081                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  11825392     26.32%     26.32% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   9807760     21.83%     48.15% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   7209263     16.05%     64.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   6038138     13.44%     77.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   4995452     11.12%     88.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   3633321      8.09%     96.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    963190      2.14%     98.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    371086      0.83%     99.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     82307      0.18%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              44925909                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   26059      1.19%      1.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                     68      0.00%      1.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       4      0.00%      1.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      1.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      1.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      1.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      1.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      1.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%      1.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%      1.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%      1.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%      1.19% # attempts to use FU when none available (Count)
