
---------- Begin Simulation Statistics ----------
simSeconds                                   0.039650                       # Number of seconds simulated (Second)
simTicks                                  39650411000                       # Number of ticks simulated (Tick)
finalTick                                 39650411000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    376.08                       # Real time elapsed on the host (Second)
hostTickRate                                105430411                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     710388                       # Number of bytes of host memory used (Byte)
simInsts                                     68586790                       # Number of instructions simulated (Count)
simOps                                       68588230                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   182372                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     182376                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         39650412                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.578106                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.729788                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        91355799                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     6699                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       82611475                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  36587                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             22774267                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          14035004                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 603                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            39620526                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.085068                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.778864                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   9135595     23.06%     23.06% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   9025213     22.78%     45.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   6603713     16.67%     62.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   5489018     13.85%     76.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   4754307     12.00%     88.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   3309708      8.35%     96.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    873673      2.21%     98.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    330416      0.83%     99.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     98883      0.25%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              39620526                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   26415      1.31%      1.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                     99      0.00%      1.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       4      0.00%      1.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      1.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      1.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      1.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      1.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      1.32% # attempts to use FU when none available (Count)
