
---------- Begin Simulation Statistics ----------
simSeconds                                   0.051158                       # Number of seconds simulated (Second)
simTicks                                  51158336000                       # Number of ticks simulated (Tick)
finalTick                                 51158336000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    611.56                       # Real time elapsed on the host (Second)
hostTickRate                                 83651742                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     708340                       # Number of bytes of host memory used (Byte)
simInsts                                     68586790                       # Number of instructions simulated (Count)
simOps                                       68588230                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   112150                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     112152                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         51158337                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.745892                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.340677                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       115615626                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     6379                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       95829259                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  72871                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             47033774                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          31707381                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 283                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            51128993                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.874265                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.788344                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  15430609     30.18%     30.18% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  10716143     20.96%     51.14% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   7841905     15.34%     66.48% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   6664650     13.03%     79.51% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   5085104      9.95%     89.46% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   3865120      7.56%     97.02% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    979631      1.92%     98.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    475094      0.93%     99.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     70737      0.14%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              51128993                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   33078      1.52%      1.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                     31      0.00%      1.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      1.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      1.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      1.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      1.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      1.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      1.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%      1.52% # attempts to use FU when none available (Count)
