
---------- Begin Simulation Statistics ----------
simSeconds                                   0.132487                       # Number of seconds simulated (Second)
simTicks                                 132486635000                       # Number of ticks simulated (Tick)
finalTick                                132486635000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    751.48                       # Real time elapsed on the host (Second)
hostTickRate                                176300135                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     702328                       # Number of bytes of host memory used (Byte)
simInsts                                     68586894                       # Number of instructions simulated (Count)
simOps                                       68588360                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    91269                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      91271                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        132486717                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.931662                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.517689                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       103577868                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     6611                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       92955746                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  45790                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             34996118                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          18409780                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 463                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           130745138                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.710969                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.337606                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  90887701     69.52%     69.52% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  16114949     12.33%     81.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   8356302      6.39%     88.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   6718701      5.14%     93.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   4750808      3.63%     97.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   2892630      2.21%     99.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    720215      0.55%     99.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    246238      0.19%     99.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     57594      0.04%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             130745138                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    9087      0.50%      0.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                     95      0.01%      0.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                     154      0.01%      0.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      0.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      0.51% # attempts to use FU when none available (Count)
