
---------- Begin Simulation Statistics ----------
simSeconds                                   0.112785                       # Number of seconds simulated (Second)
simTicks                                 112785149000                       # Number of ticks simulated (Tick)
finalTick                                112785149000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    751.51                       # Real time elapsed on the host (Second)
hostTickRate                                150078463                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     702324                       # Number of bytes of host memory used (Byte)
simInsts                                     68587234                       # Number of instructions simulated (Count)
simOps                                       68588785                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    91266                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      91268                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        112785150                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.644404                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.608123                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       103405542                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     6884                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       92319082                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  44786                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             34823640                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          18935369                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 566                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           112692744                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.819211                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.417899                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  73724187     65.42%     65.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  15348110     13.62%     79.04% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   8233965      7.31%     86.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   6604970      5.86%     92.21% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   4693723      4.17%     96.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   3018522      2.68%     99.05% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    734304      0.65%     99.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    264898      0.24%     99.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     70065      0.06%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             112692744                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   26725      1.45%      1.45% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                     95      0.01%      1.45% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                      20      0.00%      1.45% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      1.45% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      1.45% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      1.45% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      1.45% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      1.45% # attempts to use FU when none available (Count)
